10yardj.zip,10-Yard Fight (Japan),Irem
ac1taklv.zip,Take It Or Leave It (Ace) (ACESYS1) (set 1),Ace
ac1totb.zip,Top Of The Bill (Ace) (ACESYS1),Ace
ac1xpres.zip,Xpress (Pcp) (ACESYS1),Pcp
ac97.zip,AC97 audio,Pcp
adc0834.zip,ADC0834,BFM
adc0838.zip,ADC0838,BFM
adc1038.zip,ADC1038,BFM
adc12138.zip,ADC12138,BFM
address_map_bank.zip,Address Map Bank,BFM
asap.zip,ASAP,Astra
beep.zip,Beep,BFM
c6280.zip,HuC6280,BFM
c6545_1.zip,C6545-1 CRTC,BFM
epic12.zip,EP1C12 Blitter,Maygay
funcube_touchscrene.zip,Funcube Touchscreen,Namco
ins8050.zip,INS 8050 SC/MP,BFM
ins8060.zip,INS 8060 SC/MP II,BFM
ins8154.zip,INS8154 RAM I/O,BFM
m3745x.zip,Mitsubishi M37450,Barcrest
m37702s1.zip,M37702S1,Barcrest
m37710s4.zip,M37710S4,Barcrest
m3comm.zip,MODEL-3 COMMUNICATION BD,Barcrest
m48t02.zip,M48T02 Timekeeper,Mdm
m48t08.zip,MK48T08 Timekeeper,Mdm
m48t35.zip,M48T35 Timekeeper,Mdm
m48t37.zip,M48T37 Timekeeper,Mdm
m48t58.zip,M48T58 Timekeeper,Mdm
m58715.zip,M58715,Bwb
m58817.zip,M58817,Bwb
m58819s.zip,M58819S,Bwb
neocart_kof99k.zip,Neo Geo KOF 99 Korea CMC42 Cart,Hudson
tourvis.zip,Tourvision PCE bootleg,bootleg (Tourvision)
v4bios.zip,MPU4 Video Firmware,Barcrest
v53_dmau.zip,V53 DMAU,Barcrest
v53_scu.zip,V53 SCU,Barcrest
v53a.zip,V53A,Barcrest
v60.zip,V60,Barcrest
v70.zip,V70,Barcrest
v810.zip,V810,Barcrest
v9938.zip,V9938 VDP,Barcrest
v9958.zip,V9958 VDP,Barcrest
